Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/G,xG,xGA,xGD,xGD/90,Attendance,Goalkeeper
1,Manchester City,eng ENG,1,29,22,4,3,68,18,50,70,2.41,66.9,21.2,45.7,1.58,"52,681",Ederson
2,Liverpool,eng ENG,2,29,21,6,2,75,20,55,69,2.38,72,27.6,44.4,1.53,"53,459",Alisson
3,Bayern Munich,de GER,1,27,20,3,4,81,28,53,63,2.33,73.1,27.4,45.7,1.69,"24,214",Manuel Neuer
4,Real Madrid,es ESP,1,29,20,6,3,59,25,34,66,2.28,53.4,32.8,20.5,0.71,"38,892",Thibaut Courtois
5,Paris S-G,fr FRA,1,29,20,5,4,59,27,32,65,2.24,55.1,29.8,25.3,0.87,"40,513",Keylor Navas
6,Milan,it ITA,1,30,20,6,4,56,29,27,66,2.2,47.8,29.4,18.4,0.61,"35,359",Mike Maignan
7,Chelsea,eng ENG,3,28,17,8,3,57,19,38,59,2.11,46.7,24.8,21.9,0.78,"37,932",Edouard Mendy
8,Dortmund,de GER,2,27,18,3,6,67,38,29,57,2.11,48.4,33.9,14.5,0.54,"29,859",Gregor Kobel
9,Napoli,it ITA,2,30,19,6,5,53,22,31,63,2.1,46.9,22.3,24.7,0.82,"22,237",David Ospina
10,Inter,it ITA,3,29,17,9,3,62,24,38,60,2.07,60.2,30.8,29.4,1.01,"36,644",Samir Handanović
11,Sevilla,es ESP,2,29,15,12,2,40,19,21,57,1.97,32.2,26.4,5.8,0.2,"27,826",Yassine Bounou
12,Juventus,it ITA,4,30,17,8,5,47,26,21,59,1.97,40.3,28.4,11.9,0.4,"16,786",Wojciech Szczęsny
13,Barcelona,es ESP,3,28,15,9,4,56,29,27,54,1.93,50.4,25,25.4,0.91,"50,883",Marc-André ter Stegen
14,Arsenal,eng ENG,4,28,17,3,8,44,31,13,54,1.93,43.1,34.2,9,0.32,"59,533",Aaron Ramsdale
15,Atlético Madrid,es ESP,4,29,16,6,7,53,36,17,54,1.86,39.7,25.8,13.9,0.48,"45,839",Jan Oblak
16,Marseille,fr FRA,2,29,15,8,6,45,27,18,53,1.83,41.5,31.4,10.1,0.35,"49,578",Pau López
17,Rennes,fr FRA,3,29,16,4,9,63,28,35,52,1.79,49.3,28.5,20.8,0.72,"24,767",Alfred Gomis
18,Leverkusen,de GER,3,27,14,6,7,66,41,25,48,1.78,50,36.8,13.1,0.49,"14,514",Lukáš Hrádecký
